,priority,rule,source,tags,time,output_fields.container.id,output_fields.container.image.repository,output_fields.evt.time,output_fields.fd.name,output_fields.proc.aname[2],output_fields.proc.aname[3],output_fields.proc.aname[4],output_fields.proc.cmdline,output_fields.proc.name,output_fields.proc.pname,output_fields.user.loginuid,output_fields.user.name,output_fields.proc.pcmdline,output_fields.evt.arg.uid,output_fields.user.uid,output_fields.container.name,output_fields.proc.tty,output_fields.container.image.tag,output_fields.container.mounts,is_run_as_root,is_bash_in_args,is_sh_in_args,is_passwd_in_open_args,is_proc_in_open_args,n_failed_syscalls
0,Warning,Read sensitive file untrusted,syscall,"['filesystem', 'mitre_credential_access', 'mitre_discovery']",2021-12-10T18:15:43.682318377Z,host,,1639160143682318377,/etc/shadow,systemd,,,systemd-userwor                 ,systemd-userwor,systemd-userdbd,-1,root,,,,,,,,1,0,0,0,0,0
1,Warning,Read sensitive file untrusted,syscall,"['filesystem', 'mitre_credential_access', 'mitre_discovery']",2021-12-10T18:17:59.846168873Z,host,,1639160279846168873,/etc/shadow,systemd,,,systemd-userwor xxxxxxxxxxxxxxxx,systemd-userwor,systemd-userdbd,-1,root,,,,,,,,1,0,0,0,0,0
2,Warning,Read sensitive file untrusted,syscall,"['filesystem', 'mitre_credential_access', 'mitre_discovery']",2021-12-10T18:18:04.796631942Z,host,,1639160284796631942,/etc/shadow,systemd,,,systemd-userwor xxxxxxxxxxxxxxxx,systemd-userwor,systemd-userdbd,-1,root,,,,,,,,1,0,0,0,0,0
3,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-10T18:20:02.049481945Z,host,,1639160402049481945,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
4,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-10T18:20:02.065247931Z,host,,1639160402065247931,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
5,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-10T18:25:02.140909028Z,host,,1639160702140909028,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
6,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-10T18:25:02.158720078Z,host,,1639160702158720078,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
7,Warning,Read sensitive file untrusted,syscall,"['filesystem', 'mitre_credential_access', 'mitre_discovery']",2021-12-10T18:29:47.330764247Z,host,,1639160987330764247,/etc/shadow,systemd,,,systemd-userwor xxxxxxxxxxxxxxxx,systemd-userwor,systemd-userdbd,-1,root,,,,,,,,1,0,0,0,0,0
8,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-10T18:30:02.076918413Z,host,,1639161002076918413,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
9,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-10T18:30:02.080866399Z,host,,1639161002080866399,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
